n,noiseParam,AE_mean,AE_sd
16,2048,0.014258238720275025,0.011598614974763569
16,4096,0.009270770675148431,0.007737047690949804
16,8192,0.007254049750127675,0.005979419195478334
16,16384,0.004978099420029973,0.00406317962733093
16,32768,0.0032743233464074227,0.0026944096743295853
16,65536,0.0025271677712131006,0.0020902103454064048
32,0.25,0.21473757119674788,0.12413439590046699
32,0.5,0.21473757119674788,0.12413439590046699
32,1,0.21473757119674788,0.12413439590046699
32,2,0.21408836200805986,0.12404636022434011
32,4,0.20688779674151667,0.12302685341911954
32,8,0.1751342704883083,0.11256555074973491
32,16,0.12155928167960904,0.08961585246572443
32,32,0.08172367724458096,0.06476660999065333
32,64,0.057009538818896914,0.04393257172952568
32,128,0.037093961680243766,0.028434057927514612
32,256,0.026956186909390837,0.02117235819033509
32,512,0.01885597476374284,0.015143146510202045
32,1024,0.01341645894399802,0.010743848073216971
32,2048,0.009437371419611663,0.007665921549112204
32,4096,0.006388709716881784,0.005172470472413955
32,8192,0.005068095380555258,0.0039667869141864565
32,16384,0.003402877382671274,0.0026869899621448346
32,32768,0.002373570568085596,0.0018481615392548353
32,65536,0.0017361606661738605,0.0013834166023965963
64,0.25,0.21473757119674788,0.12413439590046699
64,0.5,0.21473757119674788,0.12413439590046699
64,1,0.21473757026631943,0.1241343969809594
64,2,0.21472940783090502,0.12413617979275993
64,4,0.2130791513760351,0.12294807924447669
64,8,0.18409350336902627,0.11157999499294784
64,16,0.11681959022689752,0.07773106775699914
64,32,0.0692399655200858,0.05073460100898187
64,64,0.042790968040665456,0.03301350623699546
64,128,0.02844429813759672,0.021935158253221655
64,256,0.019719218407667154,0.014514863349228638
64,512,0.013159401171482715,0.010294847881903608
64,1024,0.009746510720436034,0.0076831745027439655
64,2048,0.006828601092284859,0.005161848113473919
64,4096,0.004695392833946605,0.0037065765860867677
64,8192,0.0034093288235814982,0.0027257218397515625
64,16384,0.00240387150141809,0.0018785354638737068
64,32768,0.001676457207834166,0.001368161011069542
64,65536,0.001225297142328158,9.431754668109148e-4
128,0.25,0.21473757119674788,0.12413439590046699
128,0.5,0.2147324276042027,0.12413151503457726
128,1,0.21473757119674788,0.12413439590046699
128,2,0.21472938114317813,0.12413611747098412
128,4,0.21456989146660846,0.12411585151317059
128,8,0.19093512569714016,0.1077816722086992
128,16,0.11618250401869241,0.06663158873735273
128,32,0.06145137210500051,0.041433700109412525
128,64,0.03566960907440711,0.025327769381378436
128,128,0.022095874395192255,0.016844993999948755
128,256,0.01452975290401787,0.01091681688625188
128,512,0.009535443860418963,0.0073643677628287595
128,1024,0.006809680503766454,0.005514237009293959
128,2048,0.004664966756549243,0.0036646604499465086
128,4096,0.0033469843803499762,0.002644899069603778
128,8192,0.0023845236753349468,0.0019093683989704466
