n,noiseParam,AE_mean,AE_sd
64,8192,0.03671966476767854,0.05362278601651811
64,16384,0.036630737500415324,0.05364444199744303
64,32768,0.03670857178390132,0.053462487918954534
64,65536,0.03661509244835754,0.053479256284648176
128,0.25,0.05525695579103328,0.06311222220122362
128,0.5,0.054885969034734035,0.06241788664347204
128,1,0.05710067059426727,0.06851971500183136
128,2,0.056261514802174874,0.06984891036886272
128,4,0.05426813102254045,0.07393345631936298
128,8,0.060820419445624295,0.08908271899025415
128,16,0.057527475374353855,0.08444512555826703
128,32,0.05886584067788728,0.09081271132036728
128,64,0.06309683349867073,0.09940304866917231
128,128,0.06199334054201522,0.09640612423467414
128,256,0.06167999428345451,0.09276671858121582
128,512,0.06325345635708599,0.09878165525730573
128,1024,0.06405488516970599,0.10082070617100632
128,2048,0.06138005271605235,0.0953476913332138
128,4096,0.06304649820954228,0.099269539450525
128,8192,0.062494637770298934,0.09729065983227304
128,16384,0.0618561225343362,0.09666723629643609
128,32768,0.0625656742950634,0.09784936812447757
128,65536,0.06335676452793154,0.10074753192114845
256,0.25,0.07867725654546799,0.10969907000179085
256,0.5,0.11363265704987259,0.19183772241719718
256,1,0.15148463715349283,0.25243488075349946
256,2,0.25120267279400305,0.3489133765562761
256,4,0.3695998401357461,0.3972151503573116
256,8,0.44135985019603347,0.40755434303454663
256,16,0.4679759038436525,0.4050253291603762
256,32,0.48435676155927404,0.3980016816182052
256,64,0.49245195758765686,0.3961123284430189
256,128,0.49503731400719814,0.39530220831455026
256,256,0.497340837701694,0.39242407485605785
256,512,0.4993491211446766,0.3922761424564876
256,1024,0.49741364890790163,0.3924852438523769
256,2048,0.5009263955790094,0.3928622367451354
256,4096,0.5013876829899037,0.39222287489764507
256,8192,0.5011445543347538,0.3926815912133489
256,16384,0.5009553127253895,0.39240609507588164
256,32768,0.5006503609868568,0.3924999477874802
256,65536,0.5015603804829889,0.3924673093182633
